2020-05-27 09:31:34.235852|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-05-27 09:31:34.236090|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.19.0-8-amd64 #1 SMP Debian 4.19.98-1+deb10u1 (2020-04-27) x86_64 Binary: 64bit
2020-05-27 09:31:34.236717|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2020-05-27 09:31:34.236788|INFO    |DatabaseQuery |   |dbPlugin version: 2
2020-05-27 09:31:35.374922|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-05-27 09:31:35.389323|INFO    |Accounting    |   |Licensing Information
2020-05-27 09:31:35.389425|INFO    |Accounting    |   |licensed to       : Anonymous
2020-05-27 09:31:35.389955|INFO    |Accounting    |   |type              : No License
2020-05-27 09:31:35.389994|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-05-27 09:31:35.390026|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-05-27 09:31:35.390136|INFO    |Accounting    |   |max virtualservers: 1
2020-05-27 09:31:35.390180|INFO    |Accounting    |   |max slots         : 32
2020-05-27 09:31:36.505908|INFO    |              |   |Puzzle precompute time: 1055
2020-05-27 09:31:36.507888|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-05-27 09:31:36.547694|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-05-27 09:31:36.549115|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-05-27 09:31:36.592264|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-05-27 09:32:51.686732|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
