2020-05-27 10:23:34.944639|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-05-27 10:23:34.946667|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.19.0-8-amd64 #1 SMP Debian 4.19.98-1+deb10u1 (2020-04-27) x86_64 Binary: 64bit
2020-05-27 10:23:34.947234|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2020-05-27 10:23:34.947287|INFO    |DatabaseQuery |   |dbPlugin version: 2
2020-05-27 10:23:37.081518|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-05-27 10:23:37.101182|INFO    |Accounting    |   |Licensing Information
2020-05-27 10:23:37.101291|INFO    |Accounting    |   |licensed to       : Anonymous
2020-05-27 10:23:37.101357|INFO    |Accounting    |   |type              : No License
2020-05-27 10:23:37.101455|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-05-27 10:23:37.101555|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-05-27 10:23:37.101738|INFO    |Accounting    |   |max virtualservers: 1
2020-05-27 10:23:37.101978|INFO    |Accounting    |   |max slots         : 32
2020-05-27 10:23:38.254043|INFO    |              |   |Puzzle precompute time: 1085
2020-05-27 10:23:38.255593|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-05-27 10:23:38.286719|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-05-27 10:23:38.286871|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-05-27 10:23:38.323682|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
