2020-05-27 09:42:42.734574|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-05-27 09:42:42.734812|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.19.0-8-amd64 #1 SMP Debian 4.19.98-1+deb10u1 (2020-04-27) x86_64 Binary: 64bit
2020-05-27 09:42:42.735352|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2020-05-27 09:42:42.735399|INFO    |DatabaseQuery |   |dbPlugin version: 2
2020-05-27 09:42:44.368132|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-05-27 09:42:44.381913|INFO    |Accounting    |   |Licensing Information
2020-05-27 09:42:44.382061|INFO    |Accounting    |   |licensed to       : Anonymous
2020-05-27 09:42:44.382150|INFO    |Accounting    |   |type              : No License
2020-05-27 09:42:44.382229|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-05-27 09:42:44.382312|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-05-27 09:42:44.382376|INFO    |Accounting    |   |max virtualservers: 1
2020-05-27 09:42:44.382453|INFO    |Accounting    |   |max slots         : 32
2020-05-27 09:42:45.560886|INFO    |              |   |Puzzle precompute time: 1118
2020-05-27 09:42:45.563935|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-05-27 09:42:45.604742|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-05-27 09:42:45.604955|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-05-27 09:42:45.648941|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-05-27 09:46:39.332516|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
