2020-05-27 09:46:42.008503|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-05-27 09:46:42.010229|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.19.0-8-amd64 #1 SMP Debian 4.19.98-1+deb10u1 (2020-04-27) x86_64 Binary: 64bit
2020-05-27 09:46:42.010764|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2020-05-27 09:46:42.010806|INFO    |DatabaseQuery |   |dbPlugin version: 2
2020-05-27 09:46:42.031692|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-05-27 09:46:42.044010|INFO    |Accounting    |   |Licensing Information
2020-05-27 09:46:42.044071|INFO    |Accounting    |   |licensed to       : Anonymous
2020-05-27 09:46:42.044176|INFO    |Accounting    |   |type              : No License
2020-05-27 09:46:42.044263|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-05-27 09:46:42.044329|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-05-27 09:46:42.044415|INFO    |Accounting    |   |max virtualservers: 1
2020-05-27 09:46:42.044447|INFO    |Accounting    |   |max slots         : 32
2020-05-27 09:46:42.087497|ERROR   |VirtualSvrMgr |   |missing default virtualserver values
2020-05-27 09:46:42.087591|ERROR   |ServerLibPriv |   |Server() error while starting servermanager, error: database empty result set
