2020-05-27 09:55:50.888428|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-05-27 09:55:50.889066|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.19.0-8-amd64 #1 SMP Debian 4.19.98-1+deb10u1 (2020-04-27) x86_64 Binary: 64bit
2020-05-27 09:55:50.889774|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2020-05-27 09:55:50.889898|INFO    |DatabaseQuery |   |dbPlugin version: 2
2020-05-27 09:55:52.636273|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-05-27 09:55:52.650152|INFO    |Accounting    |   |Licensing Information
2020-05-27 09:55:52.650343|INFO    |Accounting    |   |licensed to       : Anonymous
2020-05-27 09:55:52.650396|INFO    |Accounting    |   |type              : No License
2020-05-27 09:55:52.650442|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-05-27 09:55:52.650479|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-05-27 09:55:52.650506|INFO    |Accounting    |   |max virtualservers: 1
2020-05-27 09:55:52.650536|INFO    |Accounting    |   |max slots         : 32
2020-05-27 09:55:53.631226|INFO    |              |   |Puzzle precompute time: 919
2020-05-27 09:55:53.632986|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-05-27 09:55:53.675552|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-05-27 09:55:53.675886|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-05-27 09:55:53.729943|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
