2020-05-27 09:41:29.404807|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-05-27 09:41:29.405664|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.19.0-8-amd64 #1 SMP Debian 4.19.98-1+deb10u1 (2020-04-27) x86_64 Binary: 64bit
2020-05-27 09:41:29.406559|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2020-05-27 09:41:29.406715|INFO    |DatabaseQuery |   |dbPlugin version: 2
2020-05-27 09:41:30.762804|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-05-27 09:41:30.777133|INFO    |Accounting    |   |Licensing Information
2020-05-27 09:41:30.777242|INFO    |Accounting    |   |licensed to       : Anonymous
2020-05-27 09:41:30.777283|INFO    |Accounting    |   |type              : No License
2020-05-27 09:41:30.777320|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-05-27 09:41:30.777361|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-05-27 09:41:30.777398|INFO    |Accounting    |   |max virtualservers: 1
2020-05-27 09:41:30.777426|INFO    |Accounting    |   |max slots         : 32
2020-05-27 09:41:32.141139|INFO    |              |   |Puzzle precompute time: 1298
2020-05-27 09:41:32.144500|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-05-27 09:41:32.185305|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-05-27 09:41:32.185543|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-05-27 09:41:32.221319|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-05-27 09:41:54.641226|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
