2020-05-27 09:33:34.226662|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-05-27 09:33:34.226909|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.19.0-8-amd64 #1 SMP Debian 4.19.98-1+deb10u1 (2020-04-27) x86_64 Binary: 64bit
2020-05-27 09:33:34.228787|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2020-05-27 09:33:34.228841|INFO    |DatabaseQuery |   |dbPlugin version: 2
2020-05-27 09:33:45.379171|INFO    |SQL           |   |db_CreateTables() tables created
2020-05-27 09:33:46.163851|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-05-27 09:33:46.176466|INFO    |Accounting    |   |Licensing Information
2020-05-27 09:33:46.176552|INFO    |Accounting    |   |licensed to       : Anonymous
2020-05-27 09:33:46.176714|INFO    |Accounting    |   |type              : No License
2020-05-27 09:33:46.176757|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-05-27 09:33:46.176792|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-05-27 09:33:46.176820|INFO    |Accounting    |   |max virtualservers: 1
2020-05-27 09:33:46.176846|INFO    |Accounting    |   |max slots         : 32
2020-05-27 09:33:47.223518|INFO    |              |   |Puzzle precompute time: 994
2020-05-27 09:33:47.224985|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-05-27 09:33:47.320683|INFO    |VirtualSvrMgr |   |executing monthly interval
2020-05-27 09:33:47.321141|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2020-05-27 09:33:47.434750|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-05-27 09:33:47.760153|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-05-27 09:33:47.761510|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-05-27 09:38:56.206278|INFO    |Query         |   |query from 1 192.168.88.107:52478 attempted to login with account "serveradmin" and failed!
2020-05-27 09:41:23.103542|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
