2020-05-27 09:25:57.160191|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.12.1 (2020-03-27 10:38:47)
2020-05-27 09:25:57.160508|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.19.0-8-amd64 #1 SMP Debian 4.19.98-1+deb10u1 (2020-04-27) x86_64 Binary: 64bit
2020-05-27 09:25:57.162280|INFO    |DatabaseQuery |   |dbPlugin name:    MariaDB plugin, version 3, (c)TeamSpeak Systems GmbH
2020-05-27 09:25:57.162337|INFO    |DatabaseQuery |   |dbPlugin version: 2
2020-05-27 09:26:18.472956|INFO    |SQL           |   |db_CreateTables() tables created
2020-05-27 09:26:18.838689|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2020-05-27 09:26:18.853597|INFO    |Accounting    |   |Licensing Information
2020-05-27 09:26:18.853817|INFO    |Accounting    |   |licensed to       : Anonymous
2020-05-27 09:26:18.853885|INFO    |Accounting    |   |type              : No License
2020-05-27 09:26:18.853940|INFO    |Accounting    |   |starting date     : Sat Feb  1 00:00:00 2020
2020-05-27 09:26:18.854152|INFO    |Accounting    |   |ending date       : Mon Feb  1 00:00:00 2021
2020-05-27 09:26:18.854214|INFO    |Accounting    |   |max virtualservers: 1
2020-05-27 09:26:18.854280|INFO    |Accounting    |   |max slots         : 32
2020-05-27 09:26:20.179060|INFO    |              |   |Puzzle precompute time: 1265
2020-05-27 09:26:20.180748|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2020-05-27 09:26:20.199041|INFO    |VirtualSvrMgr |   |executing monthly interval
2020-05-27 09:26:20.199307|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2020-05-27 09:26:20.286229|INFO    |              |   |myTeamSpeak identifier revocation list was downloaded successfully - all related features are activated
2020-05-27 09:26:20.444068|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2020-05-27 09:26:20.445019|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2020-05-27 09:28:47.062313|INFO    |ServerMain    |   |Received signal SIGTERM, shutting down.
